,Gene name,Full name,Main Functions,Relation to TGFβ ,Literatures,,
1,ABCG1,ATP Binding Cassette Subfamily G Member 1,"ATP-binding cassette (ABC) transporters, ABC proteins transport various molecules across extra- and intra-cellular membranes",upregulated by TGFβ ,"Hu YW, 2010, JAT; ",,
2,AMIGO2 ,Adhesion Molecule With Ig Like Domain 2,tumorigenesis of a subset of gastric adenocarcinomas; depolarization-dependent survival;,upregulated by TGFβ ,"X Zhu, 2012,Front Physiol",,
3,CA12,Carbonic Anhydrase 12,overexpressed in 10% of clear cell renal carcinomas;  reversible hydration of carbon dioxide;,upregulated by TGFβ ,"Ola W, 2011, Taylor and Francis",,
4,CCDC99,Spindle Apparatus Coiled-Coil Protein 1,"coordinating microtubule attachment by promoting recruitment of dynein proteins, and in mitotic checkpoint signaling",upregulated by TGFβ ,"M. Pacurari, 2011, Toxicol Appl Pharmacol",,
5,CCL20,C-C Motif Chemokine Ligand 20 ,"displays chemotactic activity for lymphocytes and can repress proliferation of myeloid progenitors;  chemotaxis of dendritic;  Inhibits proliferation of myeloid progenitors in colony formation assays cells (DC), effector/memory T-cells and B-cells",upregulated by TGFβ ,"Oliver J. Brand, 2015, Journal of Biological Chemistry",,
6,CHRNA9,Cholinergic Receptor Nicotinic Alpha 9 Subunit,Agonist binding induces a conformation change that leads to the opening of an homo- or hetero-oligomeric divalent cation-conducting channel across the plasma membrane;  cochlea hair cell development and is also expressed in the outer hair cells (OHCs) of the adult cochlea,upregulated by TGFβ ,"Alyssa A. Chamberlain, 2014, Journal of the American Heart Association",,
7,COL4A2,Collagen Type IV Alpha 2 Chain,"major structural component of glomerular basement membranes (GBM), forming a chicken-wire meshwork together with laminins, proteoglycans and entactin/nidogen; inhibits proliferation and migration of endothelial cells, reduces mitochondrial membrane potential;  induces Fas-dependent apoptosis and activates procaspase-8 and -9 activity",upregulated by TGFβ ,"Akira Saito, 2013, Plos One",,
8,CTGF,Connective Tissue Growth Factor,mitoattractant secreted by vascular endothelial cells. Promotes proliferation and differentiation of chondrocytes; Mediates heparin- and divalent cation-dependent cell adhesion; Enhances fibroblast growth factor-induced DNA synthesis,upregulated by TGFβ ,"Yang YM, 2006, Zhonghua Yan Ke Za Zhi",,
9,DLC1,DLC1 Rho GTPase Activating Protein,"GTPase-activating protein for the small GTPases RHOA, RHOB, RHOC and CDC42, terminating their downstream signaling inducing morphological changes; cell migration (velocity but reduces directionality especially cancer cells) and proliferation",upregulated by TGFβ ,"Yufeng Wang, 2014, Journal of Clinical Investigation",,
10,DNAJB9,DnaJ Heat Shock Protein Family (Hsp40) Member B9,Involved in endoplasmic reticulum-associated degradation (ERAD) of misfolded proteins. Acts as a co-chaperone with an Hsp70; otein.  protecting stressed cells from apoptosis,upregulated by TGFβ ,"N.Takahashi, 2005, OsteoArthritis Society International",,
