	len_changed	len_not_found	not_found	changed
HALLMARK_ADIPOGENESIS	0	0	[]	{}
HALLMARK_ALLOGRAFT_REJECTION	0	0	[]	{}
HALLMARK_ANDROGEN_RESPONSE	0	0	[]	{}
HALLMARK_ANGIOGENESIS	0	0	[]	{}
HALLMARK_APICAL_JUNCTION	0	0	[]	{}
HALLMARK_APICAL_SURFACE	0	0	[]	{}
HALLMARK_APOPTOSIS	0	0	[]	{}
HALLMARK_BILE_ACID_METABOLISM	0	0	[]	{}
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0	0	[]	{}
HALLMARK_COAGULATION	0	0	[]	{}
HALLMARK_COMPLEMENT	0	0	[]	{}
HALLMARK_DNA_REPAIR	1	0	[]	{'ZNRD1': 'POLR1H'}
HALLMARK_E2F_TARGETS	0	0	[]	{}
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0	0	[]	{}
HALLMARK_ESTROGEN_RESPONSE_EARLY	0	0	[]	{}
HALLMARK_ESTROGEN_RESPONSE_LATE	1	0	[]	{'TSTA3': 'GFUS'}
HALLMARK_FATTY_ACID_METABOLISM	1	0	[]	{'CCDC58': 'MIX23'}
HALLMARK_G2M_CHECKPOINT	0	0	[]	{}
HALLMARK_GLYCOLYSIS	1	0	[]	{'TSTA3': 'GFUS'}
HALLMARK_HEDGEHOG_SIGNALING	0	0	[]	{}
HALLMARK_HEME_METABOLISM	0	0	[]	{}
HALLMARK_HYPOXIA	0	0	[]	{}
HALLMARK_IL2_STAT5_SIGNALING	0	0	[]	{}
HALLMARK_IL6_JAK_STAT3_SIGNALING	0	0	[]	{}
HALLMARK_INFLAMMATORY_RESPONSE	0	0	[]	{}
HALLMARK_INTERFERON_ALPHA_RESPONSE	0	0	[]	{}
HALLMARK_INTERFERON_GAMMA_RESPONSE	0	0	[]	{}
HALLMARK_KRAS_SIGNALING_DN	0	0	[]	{}
HALLMARK_KRAS_SIGNALING_UP	0	0	[]	{}
HALLMARK_MITOTIC_SPINDLE	0	0	[]	{}
HALLMARK_MTORC1_SIGNALING	0	0	[]	{}
HALLMARK_MYC_TARGETS_V1	0	0	[]	{}
HALLMARK_MYC_TARGETS_V2	0	0	[]	{}
HALLMARK_MYOGENESIS	0	0	[]	{}
HALLMARK_NOTCH_SIGNALING	0	0	[]	{}
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0	0	[]	{}
HALLMARK_P53_PATHWAY	0	0	[]	{}
HALLMARK_PANCREAS_BETA_CELLS	0	0	[]	{}
HALLMARK_PEROXISOME	0	0	[]	{}
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	0	[]	{}
HALLMARK_PROTEIN_SECRETION	0	0	[]	{}
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0	0	[]	{}
HALLMARK_SPERMATOGENESIS	0	0	[]	{}
HALLMARK_TGF_BETA_SIGNALING	0	0	[]	{}
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0	0	[]	{}
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0	0	[]	{}
HALLMARK_UV_RESPONSE_DN	0	0	[]	{}
HALLMARK_UV_RESPONSE_UP	0	0	[]	{}
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	0	[]	{}
HALLMARK_XENOBIOTIC_METABOLISM	1	0	[]	{'G6PC': 'G6PC1'}
