	len_changed	len_not_found	not_found	changed
2-LTR circle formation	0	6	['rev', 'vif', 'vpu', 'gag', 'gag-pol', 'vpr']	{}
5-Phosphoribose 1-diphosphate biosynthesis	0	0	[]	{}
A tetrasaccharide linker sequence is required for GAG synthesis	0	0	[]	{}
ABC transporter disorders	0	0	[]	{}
ABC transporters in lipid homeostasis	0	0	[]	{}
ABC-family proteins mediated transport	0	0	[]	{}
ABO blood group biosynthesis	0	0	[]	{}
ADORA2B mediated anti-inflammatory cytokines production	5	0	[]	{'HRH2': 'DHX15', 'VIP': 'CPAMD8', 'TAAR3': 'TAAR3P', 'GIP': 'C1QTNF1', 'PTH2': 'PTENP1'}
ADP signalling through P2Y purinoceptor 1	0	0	[]	{}
ADP signalling through P2Y purinoceptor 12	0	0	[]	{}
AKT phosphorylates targets in the cytosol	0	0	[]	{}
AKT phosphorylates targets in the nucleus	0	0	[]	{}
AKT-mediated inactivation of FOXO1A	0	0	[]	{}
ALKBH2 mediated reversal of alkylation damage	0	0	[]	{}
ALKBH3 mediated reversal of alkylation damage	0	0	[]	{}
AMPK inhibits chREBP transcriptional activation activity	0	0	[]	{}
APC truncation mutants are not K63 polyubiquitinated	0	0	[]	{}
APC truncation mutants have impaired AXIN binding	0	0	[]	{}
APC-Cdc20 mediated degradation of Nek2A	0	0	[]	{}
APC/C-mediated degradation of cell cycle proteins	0	0	[]	{}
APC/C:Cdc20 mediated degradation of Cyclin B	0	0	[]	{}
APC/C:Cdc20 mediated degradation of Securin	0	0	[]	{}
APC/C:Cdc20 mediated degradation of mitotic proteins	0	0	[]	{}
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	0	0	[]	{}
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	0	0	[]	{}
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	0	0	[]	{}
APOBEC3G mediated resistance to HIV-1 infection	0	6	['rev', 'vif', 'vpu', 'gag', 'gag-pol', 'vpr']	{}
ARL13B-mediated ciliary trafficking of INPP5E	1	0	[]	{'INPP5E': 'PMPCA'}
ARMS-mediated activation	0	0	[]	{}
ATF4 activates genes in response to endoplasmic reticulum  stress	1	0	[]	{'IL8': 'CXCL8'}
ATF6 (ATF6-alpha) activates chaperone genes	0	0	[]	{}
ATF6 (ATF6-alpha) activates chaperones	0	0	[]	{}
ATP sensitive Potassium channels	0	0	[]	{}
AUF1 (hnRNP D0) binds and destabilizes mRNA	0	0	[]	{}
AURKA Activation by TPX2	0	0	[]	{}
AXIN missense mutants destabilize the destruction complex	0	0	[]	{}
Abacavir metabolism	0	0	[]	{}
Abacavir transmembrane transport	0	0	[]	{}
Abacavir transport and metabolism	0	0	[]	{}
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	0	0	[]	{}
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects	0	0	[]	{}
Aberrant regulation of mitotic cell cycle due to RB1 defects	0	0	[]	{}
Aberrant regulation of mitotic exit in cancer due to RB1 defects	0	0	[]	{}
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	0	0	[]	{}
Abortive elongation of HIV-1 transcript in the absence of Tat	0	0	[]	{}
Acetylation	2	0	[]	{'NAT1': 'EIF4G2', 'NAT2': 'SLC38A1'}
Acetylcholine Neurotransmitter Release Cycle	0	0	[]	{}
Acetylcholine binding and downstream events	0	0	[]	{}
Acetylcholine regulates insulin secretion	0	0	[]	{}
Acrosome Reaction and Sperm:Oocyte Membrane Binding	0	0	[]	{}
Activated NOTCH1 Transmits Signal to the Nucleus	0	0	[]	{}
Activated NTRK2 signals through CDK5	0	0	[]	{}
Activated NTRK2 signals through FRS2 and FRS3	0	0	[]	{}
Activated NTRK2 signals through FYN	0	0	[]	{}
Activated NTRK2 signals through PI3K	0	0	[]	{}
Activated NTRK2 signals through PLCG1	0	0	[]	{}
Activated NTRK2 signals through RAS	0	0	[]	{}
Activated NTRK3 signals through PI3K	0	0	[]	{}
Activated NTRK3 signals through PLCG1	0	0	[]	{}
Activated NTRK3 signals through RAS	0	0	[]	{}
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	1	0	[]	{'H2AFX': 'H2AX'}
Activated point mutants of FGFR2	1	0	[]	{'FGF2': 'FGF13'}
Activation and oligomerization of BAK protein	0	0	[]	{}
Activation of AKT2	0	0	[]	{}
Activation of AMPA receptors	0	0	[]	{}
Activation of AMPK downstream of NMDARs	0	0	[]	{}
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	0	0	[]	{}
Activation of ATR in response to replication stress	4	0	[]	{'ORC1': 'SLC25A15', 'RAD1': 'ERCC4', 'MCM2': 'MCM7', 'RPA1': 'POLR1A'}
Activation of BAD and translocation to mitochondria	0	0	[]	{}
Activation of BH3-only proteins	0	0	[]	{}
Activation of BIM and translocation to mitochondria	0	0	[]	{}
Activation of BMF and translocation to mitochondria	0	0	[]	{}
